Selegiilne	B-Chemical
-	O
inudced	O
postuarl	O
hpyotension	O
in	O
Parkinosn	O
'	O
s	O
disaese	O
:	O
a	O
longitudnial	O
sutdy	O
on	O
the	O
effetcs	O
of	O
durg	O
withdrwaal	O
.	O

OBJECTIEVS	O
:	O
The	O
Uinted	O
Kindgom	O
Pakrinson	O
'	O
s	O
Dsiease	O
Reseacrh	O
Gorup	O
(	O
UKDPRG	O
)	O
tiral	O
found	O
an	O
incraesed	O
motrality	O
in	O
patietns	O
with	O
Parkinosn	O
'	O
s	O
diesase	O
(	O
PD	O
)	O
randomiezd	O
to	O
receive	O
10	O
mg	O
selegilnie	B-Chemical
per	O
day	O
and	O
L	B-Chemical
-	I-Chemical
dpoa	I-Chemical
copmared	O
with	O
those	O
taking	O
L	B-Chemical
-	I-Chemical
dpoa	I-Chemical
alone	O
.	O

Recently	O
,	O
we	O
found	O
that	O
thearpy	O
with	O
seelgiline	B-Chemical
and	O
L	B-Chemical
-	I-Chemical
dpoa	I-Chemical
was	O
associated	O
with	O
selective	O
sytsolic	O
orthosttaic	O
hypotesnion	O
which	O
was	O
abolished	O
by	O
withdarwal	O
of	O
selgeiline	B-Chemical
.	O

This	O
unwanted	O
effcet	O
on	O
posutral	O
blood	O
presusre	O
was	O
not	O
the	O
result	O
of	O
underlying	O
autnoomic	O
faiulre	O
.	O

The	O
aims	O
of	O
this	O
stduy	O
were	O
to	O
confirm	O
our	O
previous	O
findigns	O
in	O
a	O
separate	O
choort	O
of	O
ptaients	O
and	O
to	O
determine	O
the	O
tmie	O
cuorse	O
of	O
the	O
cardiovacsular	O
cnosequences	O
of	O
stopping	O
selegilnie	B-Chemical
in	O
the	O
exepctation	O
that	O
this	O
might	O
shed	O
light	O
on	O
the	O
mehcanisms	O
by	O
which	O
the	O
durg	O
causes	O
orhtostatic	O
hypoetnsion	O
.	O

METHODS	O
:	O
The	O
cardiovasuclar	O
resposnes	O
to	O
standnig	O
and	O
haed	O
-	O
up	O
tlit	O
were	O
studied	O
repeatedly	O
in	O
PD	O
paitents	O
receiving	O
sleegiline	B-Chemical
and	O
as	O
the	O
durg	O
was	O
withdrawn	O
.	O

RSEULTS	O
:	O
Haed	O
-	O
up	O
tlit	O
caused	O
systoilc	O
orthotsatic	O
hpyotension	O
which	O
was	O
marked	O
in	O
six	O
of	O
20	O
PD	O
patietns	O
on	O
seleigline	B-Chemical
,	O
one	O
of	O
whom	O
lsot	O
concsiousness	O
with	O
unrecrodable	O
blood	O
pressuers	O
.	O

A	O
lesser	O
dergee	O
of	O
orhtostatic	O
hypotensoin	O
occurred	O
with	O
stadning	O
.	O

Orthosattic	O
hyptoension	O
was	O
amelioarted	O
4	O
dyas	O
after	O
withrdawal	O
of	O
sleegiline	B-Chemical
and	O
totally	O
abolished	O
7	O
dyas	O
after	O
discontinaution	O
of	O
the	O
durg	O
.	O

Stopping	O
seleigline	B-Chemical
also	O
significantly	O
redcued	O
the	O
spuine	O
systoilc	O
and	O
disatolic	O
blood	O
pressrues	O
consistent	O
with	O
a	O
previously	O
undescribed	O
spuine	O
pressor	O
actoin	O
.	O

CONCLUISON	O
:	O
This	O
sutdy	O
confirms	O
our	O
previous	O
fniding	O
that	O
selgeiline	B-Chemical
in	O
combiantion	O
with	O
L	B-Chemical
-	I-Chemical
dpoa	I-Chemical
is	O
associated	O
with	O
selective	O
orthsotatic	O
hypoetnsion	O
.	O

The	O
possibilities	O
that	O
these	O
cardiovsacular	O
finidngs	O
might	O
be	O
the	O
result	O
of	O
non	O
-	O
selective	O
inhbiition	O
of	O
moonamine	O
oixdase	O
or	O
of	O
amphetamnie	B-Chemical
and	O
metamphteamine	B-Chemical
are	O
discussed	O
.	O

Further	O
stduies	O
on	O
efefcts	O
of	O
irriagtion	O
soultions	O
on	O
rat	O
bldaders	O
.	O

Further	O
studeis	O
on	O
the	O
effects	O
of	O
certain	O
irirgating	O
fludis	O
on	O
the	O
rat	O
bladedr	O
for	O
18	O
hours	O
are	O
reported	O
.	O

The	O
reuslts	O
have	O
shown	O
that	O
the	O
degradatoin	O
prodcut	O
p	B-Chemical
-	I-Chemical
choloronailine	I-Chemical
is	O
not	O
a	O
significant	O
facotr	O
in	O
chlorhexidnie	B-Chemical
-	I-Chemical
digluocnate	I-Chemical
associated	O
eorsive	O
cytsitis	O
.	O

A	O
high	O
percetnage	O
of	O
kanamcyin	B-Chemical
-	O
colsitin	B-Chemical
and	O
povidnoe	B-Chemical
-	I-Chemical
ioidne	I-Chemical
irrigtaions	O
were	O
associated	O
with	O
eorsive	O
cytsitis	O
and	O
suggested	O
a	O
possible	O
complicaiton	O
with	O
huamn	O
uasge	O
.	O

Pilcoxydine	B-Chemical
irrigatoins	O
appeared	O
to	O
have	O
a	O
lwoer	O
inicdence	O
of	O
eroisve	O
cysttiis	O
but	O
further	O
stduies	O
would	O
have	O
to	O
be	O
performed	O
before	O
it	O
could	O
be	O
recommneded	O
for	O
use	O
in	O
uroolgical	O
procdeures	O
.	O

Effcets	O
of	O
tterandrine	B-Chemical
and	O
fangchinloine	B-Chemical
on	O
experimetnal	O
thrombsois	O
in	O
mcie	O
and	O
hmuan	O
platleet	O
aggregaiton	O
.	O

Tetrandirne	B-Chemical
(	O
TET	B-Chemical
)	O
and	O
fancghinoline	B-Chemical
(	O
FAN	B-Chemical
)	O
are	O
two	O
naturally	O
occurring	O
analgoues	O
with	O
a	O
bsibenzylisoquinoline	B-Chemical
strcuture	O
.	O

The	O
present	O
stduy	O
was	O
undertaken	O
to	O
inevstigate	O
the	O
effetcs	O
of	O
TET	B-Chemical
and	O
FAN	B-Chemical
on	O
the	O
experimnetal	O
thormbosis	O
indcued	O
by	O
clolagen	O
plus	O
epinephirne	B-Chemical
(	O
EP	B-Chemical
)	O
in	O
mcie	O
,	O
and	O
platleet	O
aggreagtion	O
and	O
blood	O
coagulaiton	O
in	O
vitro	O
.	O

In	O
the	O
in	O
vivo	O
stduy	O
,	O
the	O
administrtaion	O
(	O
50	O
mg	O
/	O
kg	O
,	O
i	O
.	O
p	O
.	O
)	O
of	O
TET	B-Chemical
and	O
FAN	B-Chemical
in	O
mcie	O
showed	O
the	O
inhibitoin	O
of	O
throbmosis	O
by	O
55	O
%	O
and	O
35	O
%	O
,	O
respectively	O
,	O
while	O
acetylslaicylic	B-Chemical
aicd	I-Chemical
(	O
ASA	B-Chemical
,	O
50	O
mg	O
/	O
kg	O
,	O
i	O
.	O
p	O
.	O
)	O
,	O
a	O
psoitive	O
contorl	O
,	O
showed	O
only	O
30	O
%	O
inhbiition	O
.	O

In	O
the	O
vitro	O
hmuan	O
pltaelet	O
aggreagtions	O
induecd	O
by	O
the	O
aognists	O
used	O
in	O
tetss	O
,	O
TET	B-Chemical
and	O
FAN	B-Chemical
showed	O
the	O
inhibitoins	O
dsoe	O
dependently	O
.	O

In	O
addition	O
,	O
neither	O
TET	B-Chemical
nor	O
FAN	B-Chemical
showed	O
any	O
anticoagluation	O
actiivties	O
in	O
the	O
maesurement	O
of	O
the	O
acitvated	O
patrial	O
thrmoboplastin	O
tmie	O
(	O
ATPT	O
)	O
,	O
prothrmobin	O
tmie	O
